Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Fulfillment Service,Variant Inventory Policy,Variant Gauge,Image Src,Image Position
add-on-gift-box-service-copy-4,Add-On Gift Box Service,"<p>Make a lasting impression with our gift box!</p>
<!---->",Macorner,Upsell Box,"['Others', 'recomatic-no', 'SEARCHANISE_IGNORE']",TRUE,Title,11.8'' x 23.6'',,4.99,,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/DeskMat_Upsellbox.jpg?v=1779091912,1
add-on-gift-box-service-copy-4,,,,,,,Title,15.7'' x 31.5'',,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,16.9'' x 35.4'',,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-TMBBCABOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-POLOCABOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-THSCABOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,5.5 inches,DZT-2LWOPLREBOX-5.5IN,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,8 inches,DZT-2LWOPLREBOX-8IN,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-BSRINGREDBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-LEPC2026BOX,4.99,0.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-GLANFIBOX,9.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,6 inches,DZT-ORNMSUBOX-17CM,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,8 inches,DZT-ORNMSUBOX-22CM,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-BSPRREDBOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-REORBOX,4.99,0.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-LAPINBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-ELWBBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-UGBPBOX,6.95,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,5.5 inches,DZT-2LWOPLBOX-5.5IN,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,8 inches,DZT-2LWOPLBOX-8IN,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,10 inches,DZT-2LWOPLBOX-10IN,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-RBFBAREBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-UFCGJBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-FIROKEBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-MPAKBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-UCSJDBOX,5.99,0.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Whiskey Glass,DZT-WHISKGLBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Stemless Wine Glass,DZT-PWL15OZBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-POCHUGBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-EGCWPBOX,3.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-EMSTAGBOX,3.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-EAWBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,3.5in,DZT-CARREDBOX-13CM,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,5.5in,DZT-CARREDBOX-17CM,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-KWLWBOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-ORNMREDBOX-9CM,3.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,3 Inches,DZT-ORNMREDBOX-9CM,3.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,4.5 Inches,DZT-ORNMREDBOX-13CM,3.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,5.5 Inches,DZT-ORNMREDBOX-17CM,7.99,10.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,5 Inches,DZT-ORNMBOX-13CM,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,7 Inches,DZT-ORNMBOX-22CM,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-RBPHBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-HGOBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,6 inches,DZT-ORNMSUBOX-17CM,7.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,8 inches,DZT-ORNMSUBOX-22CM,9.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-GOWSCBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-PPOBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-BOPAHBOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-SCRDBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-ULMBBOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-COWHBBOX,5.99,9.99,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-GLORNTBOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-UGBWCBOX,7.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-DIDECBOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,4 inches,DZT-GWHS4BOX,7.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,6 inches,DZT-GWHS6BOX,7.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,7.8 inches,DZT-GWHS7.8BOX,7.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,5.9 inches,DZT-LNLWL59BOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,7.87 inches,DZT-LNLWL78BOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-CSLPTBOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-POWABOX,5.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-3DMOUBOX,6.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,4 inches,DZT-LWB10BOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,6 inches,DZT-LWB15BOX,4.99,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-LEKCBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-WHGLPBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-CDKCBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-LBEBBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-PGTBBOX-9.8IN,9.95,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-APLBGBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-GTCBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,7.1 inches,DZT-BRBWSGBOX-7.1IN,6.95,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,9.8 inches,DZT-BRBWSGBOX-9.8IN,9.95,,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-HPUKCBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-UCVCP2ABOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Box Set,DZT-BOXSET,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-BOXSET,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Single Box,DZT-PWL15OZBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Box Set,DZT-BOXSET,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Default Title,DZT-BIMFNLBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Single Box,DZT-WHISKGLBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Box Set,DZT-BOXSET,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Single Box,DZT-WHISKGLBOX,4.99,6.0,manual,deny,untracked,,
add-on-gift-box-service-copy-4,,,,,,,Title,Box Set,DZT-BOXSET,4.99,6.0,manual,deny,untracked,,
