Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Fulfillment Service,Variant Inventory Policy,Variant Gauge,Image Src,Image Position
god-says-you-are-custom-birth-flower-glass-name-in-bible-verses-personalized-plant-pot-magv76922,God Says You Are - Custom Birth Flower Glass & Name In Bible Verses - Personalized Plant Pot,"<div data-zone-id=""""0"""" data-line-index=""""0"""" data-line=""""true"""">Enrich the spiritual ambiance of your home or surprise a loved one with our """"God Says You Are"""" - Custom Birth Flower Glass with Name in Bible Verses. This personalized plant pot clearly states its uniqueness with your birth flower artfully encased in a glass pot, highlighted with Bible verses that resonate love and faith. Perfect for birthdays, Christmas, anniversaries, or any special occasion, making it an ideal memento for those close to your heart: a best friend, your wife, daughter, or mom who appreciates the Christian faith.</div>
<div data-zone-id=""""0"""" data-line-index=""""1"""" data-line=""""true""""><br></div>
<div data-zone-id=""""0"""" data-line-index=""""2"""" data-line=""""true"""">Our product evokes your deep-rooted bond and resemblance with its equally beautiful and meaningful design while boasting your birth flower. Gracefully illuminating a corner of a room or your office desk, it uplifts your spirits every time your eyes meet it. What makes it even more special is its representation of defining bible verses, adding inspiration to your day or that of the recipient. Why wait, add this unique personalized glass birth flower pot to your shopping cart, gift it to yourself or your loved one, cultivating faith and beauty in every space.<br><br><strong></strong>
</div>
<p><strong>PRODUCT DETAILS:</strong></p>
<ul>
<li>Material: Made of handmade fused glass plants with ceramic pot, made to brighten any corner of your home.</li>
<li>Size:<br>+ Square Pot: 1.8  1.8 inches (4.5  4.5 cm).<br>+ Glass Plant Height: 1.7 - 2.5 inches (4.3 - 6.3 cm) tall.</li>
<li>Birth Month Flower Collection:<br>+ January: Carnation<br>+ February: Iris<br>+ March: Daffodil<br>+ April: Daisy<br>+ May: Lily of the Valley<br>+ June: Rose<br>+ July: Water Lily<br>+ August: Gladiolus<br>+ September: Aster<br>+ October: Cosmos<br>+ November: Chrysanthemum<br>+ December: Narcissus</li>
<li>Features:<br>+ Everlasting “Plant”: The stunning glass plants need no water or care. Its beauty is permanent.<br>+ Handcrafted Artistry: Each plant is hand-cut and kiln-fused, making every piece unique.<br>+ Light-Catching Design: Transparent and colored glass refracts sunlight beautifully, adding a vibrant accent to any space.<br>+ DIY-Touch: Comes with a small bag of pebbles, so you can easily DIY for a personalized look.</li>
<li>Package includes: Glass flowers x 1 ceramic pot x 1 wooden base x 1 small bag of pebbles.</li>
<li>Care Instruction: Wipe gently with a soft, dry cloth to remove dust.</li>
</ul>",Macorner,Plant Pot,"['Christian', 'Daughter', 'for_her', 'Frames And Displays', 'Glass Birth Flower Pot', 'Mom', 'NewProduct_30d', 'Quantity breaks pc', 'Self Gift', 'Wife']",TRUE,Title,1 PC,PR-CHR220403PAHN-FLOWOP_Birth_Month-BFGP,29.95,0.0,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/God_Says_You_Are_Custom_Birth_Flower_Glass_Name_In_Bible_Verses_Personalized_Plant_Pot_1.jpg?v=1777306142,1
god-says-you-are-custom-birth-flower-glass-name-in-bible-verses-personalized-plant-pot-magv76922,,,,,,,Title,2 PCS,PR-CHR220403PAHN-FLOWOP_Birth_Month-BFGP-2P,55.9,59.9,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/God_Says_You_Are_Custom_Birth_Flower_Glass_Name_In_Bible_Verses_Personalized_Plant_Pot_2.jpg?v=1777306141,2
god-says-you-are-custom-birth-flower-glass-name-in-bible-verses-personalized-plant-pot-magv76922,,,,,,,Title,3 PCS,PR-CHR220403PAHN-FLOWOP_Birth_Month-BFGP-3P,71.85,89.85,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/God_Says_You_Are_Custom_Birth_Flower_Glass_Name_In_Bible_Verses_Personalized_Plant_Pot_3.jpg?v=1777306142,3
god-says-you-are-custom-birth-flower-glass-name-in-bible-verses-personalized-plant-pot-magv76922,,,,,,,Title,4 PCS,PR-CHR220403PAHN-FLOWOP_Birth_Month-BFGP-4P,79.8,119.8,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/God_Says_You_Are_Custom_Birth_Flower_Glass_Name_In_Bible_Verses_Personalized_Plant_Pot_4.jpg?v=1777306142,4
god-says-you-are-custom-birth-flower-glass-name-in-bible-verses-personalized-plant-pot-magv76922,,,,,,,Title,5 PCS,PR-CHR220403PAHN-FLOWOP_Birth_Month-BFGP-5P,99.75,149.75,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/God_Says_You_Are_Custom_Birth_Flower_Glass_Name_In_Bible_Verses_Personalized_Plant_Pot_5.jpg?v=1777306141,5
god-says-you-are-custom-birth-flower-glass-name-in-bible-verses-personalized-plant-pot-magv76922,,,,,,,Title,6 PCS,PR-CHR220403PAHN-FLOWOP_Birth_Month-BFGP-6P,119.7,179.7,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/God_Says_You_Are_Custom_Birth_Flower_Glass_Name_In_Bible_Verses_Personalized_Plant_Pot_6.jpg?v=1777306141,6
god-says-you-are-custom-birth-flower-glass-name-in-bible-verses-personalized-plant-pot-magv76922,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/God_Says_You_Are_Custom_Birth_Flower_Glass_Name_In_Bible_Verses_Personalized_Plant_Pot_7.jpg?v=1777306141,7
i-walked-the-walk-military-branch-veteran-personalized-shirt-ma8u5emzi,I Walked The Walk Military Branch Veteran - Personalized Shirt,"<p>Introducing our latest addition, the I Walked The Walk Military Branch Veteran - Personalized Shirt, a perfect blend of meaning and style! This shirt is more than just a piece of clothing, it's a statement of pride and honor. As a self-gift, it's a unique way of showing the world your bravery and service. It’s an excellent way to commemorate the challenges you've faced and highlight the bonding and resemblance within your military family. Ideal for Veterans' Day and Independence Day, it also serves as a great gift any time of the year, be it birthdays, Christmas, anniversaries, or just because.</p><p><br></p><p>The expression I Walked The Walk is not just a printed message on the shirt, but it’s a way to express the courage and journey of our veterans, reinforcing the sentimentality of its wearer. This shirt is not only comfortable but also carries a strong essence that is sure to bring a sense of pride with each wear. It’s a thoughtful gift reminding the recipient of their valuable contribution. So, why wait? Show your appreciation, honor a service member, or treat yourself today with our personalized military veteran shirt!</p><p><br></p><p><br></p><p><strong>PRODUCT DETAILS:</strong></p><ul>
<li>100% cotton (99% for ash/grey colors, 50% for hoodie)</li>
<li>Decoration type: Digital Print.</li>
</ul>",Macorner,Shirt,"['Family', 'Independence Day', 'NewProduct_30d', 'Self Gift', 'Shirt', 'Tops', 'Veteran']",TRUE,Title,Classic Tee / Black / S,PR-IND280403VUEC-Classic Tee-S-Black,24.95,34.95,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/I_Walked_The_Walk_Military_Branch_Veteran_Personalized_Shirt_1.jpg?v=1777373036,1
i-walked-the-walk-military-branch-veteran-personalized-shirt-ma8u5emzi,,,,,,,Title,Classic Tee / Black / M,PR-IND280403VUEC-Classic Tee-M-Black,26.95,36.95,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/I_Walked_The_Walk_Military_Branch_Veteran_Personalized_Shirt_2.jpg?v=1777373036,2
i-walked-the-walk-military-branch-veteran-personalized-shirt-ma8u5emzi,,,,,,,Title,Classic Tee / Black / L,PR-IND280403VUEC-Classic Tee-L-Black,28.95,36.95,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/I_Walked_The_Walk_Military_Branch_Veteran_Personalized_Shirt_3.jpg?v=1777373036,3
